stage_id,arm_id,seed,run_id,cell_class,source_status,action_metric_applicable,registered_action_denominator,observed_action_count,missing_action_count,h_lt_1_count,h_lt_1_rate,h_lt_20_count,h_lt_20_rate,h_lt_40_count,h_lt_40_rate,failure_error_type,failure_message_sha256,source_artifact_sha256,source_row_content_sha256
experiment-a,no-context,1099057501,finevo-pilot-v2.11.5--experiment-a--gpt52_main--no-context--none--stage0-selected--s1099057501,actor-run,complete,true,48,48,0,0,0.0,13,0.2708333333333333,26,0.5416666666666666,,,fa9d2889911cfbe45f6e864d35d2ecd207196aefecebac77a556b56f867334f7,e9311150b454a375b70f64af57517c0386b088b84196b6b2b354847d0fbbc6a8
experiment-a,no-context,1421875452,finevo-pilot-v2.11.5--experiment-a--gpt52_main--no-context--none--stage0-selected--s1421875452,actor-run,complete,true,48,48,0,0,0.0,12,0.25,26,0.5416666666666666,,,25cce3bb9b18b8ed464ce47f9154dd08608a192c68db491c9c0c040849c305ec,02bcb0660a167677a7915e71104c0ea5aca5af678f026377bc9c3ffe1439afa7
experiment-a,no-context,1769977770,finevo-pilot-v2.11.5--experiment-a--gpt52_main--no-context--none--stage0-selected--s1769977770,actor-run,complete,true,48,48,0,0,0.0,14,0.2916666666666667,32,0.6666666666666666,,,3937d769dcb993143bacd43fe90eaae0e1e3b07246639852fed6dd687be7e9f3,33c43e1f10eb2fe8d7eab456d2376b487abb33ae8ccd780538469fea109aeb6e
experiment-a,no-context,959809858,finevo-pilot-v2.11.5--experiment-a--gpt52_main--no-context--none--stage0-selected--s959809858,actor-run,complete,true,48,48,0,1,0.020833333333333332,13,0.2708333333333333,27,0.5625,,,57b3fcf0b7deea349243c4248caf0b6c1a36e6384ed70cf6cf234bc696e730ec,95895c59e7b15af373cbcf89e264f1b091c6f0eaf6bb45b3e4696980df73e59a
experiment-a,no-context,617806385,finevo-pilot-v2.11.5--experiment-a--gpt52_main--no-context--none--stage0-selected--s617806385,actor-run,failed,true,48,0,48,,,,,,,VerifiedRunError,93e8ea055c44a0514de9500c5ea526249548552a3f0901ee9c6662b0a007a224,3b1d1730a7feba6b1704369ba3b0874c07166155b9c1ef8b6221aee80b652ac2,afb8216519451b842e6336778686bd5655972fc59d638c9b3e399f7fc02d577d
experiment-a,prompt-only,1099057501,finevo-pilot-v2.11.5--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s1099057501,actor-run,complete,true,48,48,0,0,0.0,9,0.1875,18,0.375,,,7f2adb18de06bce4e88e0eee008ca06aa0d66c71d8ce1d736fae45fe66f7f599,c248daee21904660e1e09d0eae7228a60525cec53a50b22de366a693e8b7446e
experiment-a,prompt-only,1421875452,finevo-pilot-v2.11.5--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s1421875452,actor-run,complete,true,48,48,0,0,0.0,11,0.22916666666666666,19,0.3958333333333333,,,c461ff82cea039ffcb9375a6d39d873988e7fe4b4d08e67f7d03ead15f31988b,f3b8556af2f604e86bf68e98b6f063c6e717ae3ce027cc14265bc70b6b13a522
experiment-a,prompt-only,1769977770,finevo-pilot-v2.11.5--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s1769977770,actor-run,complete,true,48,48,0,0,0.0,11,0.22916666666666666,31,0.6458333333333334,,,6a63f408f8efbf7843e2043ce50fd34f76ba4789ab1d375f59b5e684e598e576,3f12c1c922a4eef93407894cc97ffdc56dd023d64241c59d63fb8cf209ca14a8
experiment-a,prompt-only,959809858,finevo-pilot-v2.11.5--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s959809858,actor-run,complete,true,48,48,0,0,0.0,8,0.16666666666666666,19,0.3958333333333333,,,03b230e036794a8e4b4efc1f1198ebfbdfcf2b46e63c89cdaf5da0a063a784e8,510d36b86debc36a48a2ea034e95e5f8377e664324ca3f012d42031f17d1a958
experiment-a,prompt-only,617806385,finevo-pilot-v2.11.5--experiment-a--gpt52_main--prompt-only--none--stage0-selected--s617806385,actor-run,complete,true,48,48,0,0,0.0,2,0.041666666666666664,17,0.3541666666666667,,,010507144b83ca46ab48c0c5edd25cb516573eef3e31c8abe0222b89334baa9b,abc5768cd372069fd88d4ab89b44e63bc445e46afd1b2e876cad86b523f8e5e0
experiment-a,retrieval-only,1099057501,finevo-pilot-v2.11.5--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s1099057501,actor-run,complete,true,48,48,0,0,0.0,10,0.20833333333333334,27,0.5625,,,42d70444e4e121383e82db89722c249bf8f17c953d752fc9c193d3d7f570035e,e1865d3294c32cda7de2af6fb4dceff483f97a8fb7ccf091efad1e52c73dc7af
experiment-a,retrieval-only,1421875452,finevo-pilot-v2.11.5--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s1421875452,actor-run,complete,true,48,48,0,0,0.0,16,0.3333333333333333,24,0.5,,,d4d80f6a09e2da90b5822d36ef91dad52d3c8bbf71e74f26ce6f19aa611c386a,79ad999590785bcffb61ee99d4a0269de76c91cb992bdd58bbfa9e67dce6c698
experiment-a,retrieval-only,1769977770,finevo-pilot-v2.11.5--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s1769977770,actor-run,failed,true,48,0,48,,,,,,,VerifiedRunError,93e8ea055c44a0514de9500c5ea526249548552a3f0901ee9c6662b0a007a224,dec949ba1bd8a37f1b52c24cee7ce70500c2e7f6f59430c96c707c798133b4d9,1c2f9a37876a5178c56ed808899e4d833afed79aed4265088a640dd7f26e7d44
experiment-a,retrieval-only,959809858,finevo-pilot-v2.11.5--experiment-a--gpt52_main--retrieval-only--none--stage0-selected--s959809858,actor-run,failed,true,48,0,48,,,,,,,VerifiedRunError,14bef66c962cd98cb81a71d94fa5c33decd55a688e579f73cb5ff4d05bc2cd77,ac2269da6238f5f218fe0c98d8fb6a670155441eb95135507a36e34c436e7474,d9af60018eae90ddeaeef0b86ee55249c682afabd6fd3ab2abfcce2bc5c445bf
