run_id,status,stage_id,model_id,arm_id,narrative_id,environment_seed,scientific_eligible,artifact_kind,metric_path,metric_value_json
finevo-pilot-v1--experiment-b--gpt52_main--episodic-only--none--stage0-selected--s959809858,capability-no-go,experiment-b,gpt52_main,episodic-only,none,959809858,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--episodic-only--none--stage0-selected--s617806385,capability-no-go,experiment-b,gpt52_main,episodic-only,none,617806385,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--semantic-only--none--stage0-selected--s1099057501,capability-no-go,experiment-b,gpt52_main,semantic-only,none,1099057501,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--semantic-only--none--stage0-selected--s1421875452,capability-no-go,experiment-b,gpt52_main,semantic-only,none,1421875452,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--semantic-only--none--stage0-selected--s1769977770,capability-no-go,experiment-b,gpt52_main,semantic-only,none,1769977770,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--semantic-only--none--stage0-selected--s959809858,capability-no-go,experiment-b,gpt52_main,semantic-only,none,959809858,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--semantic-only--none--stage0-selected--s617806385,capability-no-go,experiment-b,gpt52_main,semantic-only,none,617806385,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--unverified-dual--none--stage0-selected--s1099057501,capability-no-go,experiment-b,gpt52_main,unverified-dual,none,1099057501,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--unverified-dual--none--stage0-selected--s1421875452,capability-no-go,experiment-b,gpt52_main,unverified-dual,none,1421875452,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--unverified-dual--none--stage0-selected--s1769977770,capability-no-go,experiment-b,gpt52_main,unverified-dual,none,1769977770,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--unverified-dual--none--stage0-selected--s959809858,capability-no-go,experiment-b,gpt52_main,unverified-dual,none,959809858,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--unverified-dual--none--stage0-selected--s617806385,capability-no-go,experiment-b,gpt52_main,unverified-dual,none,617806385,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--full--none--stage0-selected--s1099057501,capability-no-go,experiment-b,gpt52_main,full,none,1099057501,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--full--none--stage0-selected--s1421875452,capability-no-go,experiment-b,gpt52_main,full,none,1421875452,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--full--none--stage0-selected--s1769977770,capability-no-go,experiment-b,gpt52_main,full,none,1769977770,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--full--none--stage0-selected--s959809858,capability-no-go,experiment-b,gpt52_main,full,none,959809858,False,,,null
finevo-pilot-v1--experiment-b--gpt52_main--full--none--stage0-selected--s617806385,capability-no-go,experiment-b,gpt52_main,full,none,617806385,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1099057501,capability-no-go,experiment-c,gpt52_main,verified-error-candidate,none,1099057501,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1421875452,capability-no-go,experiment-c,gpt52_main,verified-error-candidate,none,1421875452,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1769977770,capability-no-go,experiment-c,gpt52_main,verified-error-candidate,none,1769977770,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s959809858,capability-no-go,experiment-c,gpt52_main,verified-error-candidate,none,959809858,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s617806385,capability-no-go,experiment-c,gpt52_main,verified-error-candidate,none,617806385,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s1099057501,capability-no-go,experiment-c,gpt52_main,verified-error-forced,none,1099057501,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s1421875452,capability-no-go,experiment-c,gpt52_main,verified-error-forced,none,1421875452,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s1769977770,capability-no-go,experiment-c,gpt52_main,verified-error-forced,none,1769977770,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s959809858,capability-no-go,experiment-c,gpt52_main,verified-error-forced,none,959809858,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s617806385,capability-no-go,experiment-c,gpt52_main,verified-error-forced,none,617806385,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s1099057501,capability-no-go,experiment-c,gpt52_main,unverified-error-forced,none,1099057501,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s1421875452,capability-no-go,experiment-c,gpt52_main,unverified-error-forced,none,1421875452,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s1769977770,capability-no-go,experiment-c,gpt52_main,unverified-error-forced,none,1769977770,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s959809858,capability-no-go,experiment-c,gpt52_main,unverified-error-forced,none,959809858,False,,,null
finevo-pilot-v1--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s617806385,capability-no-go,experiment-c,gpt52_main,unverified-error-forced,none,617806385,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--matched-a--none--stage0-selected--s1099057501,capability-no-go,experiment-d,gpt52_main,matched-a,none,1099057501,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--matched-a--none--stage0-selected--s1421875452,capability-no-go,experiment-d,gpt52_main,matched-a,none,1421875452,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--matched-a--none--stage0-selected--s1769977770,capability-no-go,experiment-d,gpt52_main,matched-a,none,1769977770,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--matched-a--none--stage0-selected--s959809858,capability-no-go,experiment-d,gpt52_main,matched-a,none,959809858,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--matched-a--none--stage0-selected--s617806385,capability-no-go,experiment-d,gpt52_main,matched-a,none,617806385,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--matched-b--none--stage0-selected--s1099057501,capability-no-go,experiment-d,gpt52_main,matched-b,none,1099057501,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--matched-b--none--stage0-selected--s1421875452,capability-no-go,experiment-d,gpt52_main,matched-b,none,1421875452,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--matched-b--none--stage0-selected--s1769977770,capability-no-go,experiment-d,gpt52_main,matched-b,none,1769977770,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--matched-b--none--stage0-selected--s959809858,capability-no-go,experiment-d,gpt52_main,matched-b,none,959809858,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--matched-b--none--stage0-selected--s617806385,capability-no-go,experiment-d,gpt52_main,matched-b,none,617806385,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--no-memory--none--stage0-selected--s1099057501,capability-no-go,experiment-d,gpt52_main,no-memory,none,1099057501,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--no-memory--none--stage0-selected--s1421875452,capability-no-go,experiment-d,gpt52_main,no-memory,none,1421875452,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--no-memory--none--stage0-selected--s1769977770,capability-no-go,experiment-d,gpt52_main,no-memory,none,1769977770,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--no-memory--none--stage0-selected--s959809858,capability-no-go,experiment-d,gpt52_main,no-memory,none,959809858,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--no-memory--none--stage0-selected--s617806385,capability-no-go,experiment-d,gpt52_main,no-memory,none,617806385,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--shuffled-episodic--none--stage0-selected--s1099057501,capability-no-go,experiment-d,gpt52_main,shuffled-episodic,none,1099057501,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--shuffled-episodic--none--stage0-selected--s1421875452,capability-no-go,experiment-d,gpt52_main,shuffled-episodic,none,1421875452,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--shuffled-episodic--none--stage0-selected--s1769977770,capability-no-go,experiment-d,gpt52_main,shuffled-episodic,none,1769977770,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--shuffled-episodic--none--stage0-selected--s959809858,capability-no-go,experiment-d,gpt52_main,shuffled-episodic,none,959809858,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--shuffled-episodic--none--stage0-selected--s617806385,capability-no-go,experiment-d,gpt52_main,shuffled-episodic,none,617806385,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--wrong-context--none--stage0-selected--s1099057501,capability-no-go,experiment-d,gpt52_main,wrong-context,none,1099057501,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--wrong-context--none--stage0-selected--s1421875452,capability-no-go,experiment-d,gpt52_main,wrong-context,none,1421875452,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--wrong-context--none--stage0-selected--s1769977770,capability-no-go,experiment-d,gpt52_main,wrong-context,none,1769977770,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--wrong-context--none--stage0-selected--s959809858,capability-no-go,experiment-d,gpt52_main,wrong-context,none,959809858,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--wrong-context--none--stage0-selected--s617806385,capability-no-go,experiment-d,gpt52_main,wrong-context,none,617806385,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--error-verified--none--stage0-selected--s1099057501,capability-no-go,experiment-d,gpt52_main,error-verified,none,1099057501,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--error-verified--none--stage0-selected--s1421875452,capability-no-go,experiment-d,gpt52_main,error-verified,none,1421875452,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--error-verified--none--stage0-selected--s1769977770,capability-no-go,experiment-d,gpt52_main,error-verified,none,1769977770,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--error-verified--none--stage0-selected--s959809858,capability-no-go,experiment-d,gpt52_main,error-verified,none,959809858,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--error-verified--none--stage0-selected--s617806385,capability-no-go,experiment-d,gpt52_main,error-verified,none,617806385,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--error-unverified--none--stage0-selected--s1099057501,capability-no-go,experiment-d,gpt52_main,error-unverified,none,1099057501,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--error-unverified--none--stage0-selected--s1421875452,capability-no-go,experiment-d,gpt52_main,error-unverified,none,1421875452,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--error-unverified--none--stage0-selected--s1769977770,capability-no-go,experiment-d,gpt52_main,error-unverified,none,1769977770,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--error-unverified--none--stage0-selected--s959809858,capability-no-go,experiment-d,gpt52_main,error-unverified,none,959809858,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--error-unverified--none--stage0-selected--s617806385,capability-no-go,experiment-d,gpt52_main,error-unverified,none,617806385,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--none--stage0-selected--s1099057501,capability-no-go,experiment-d,gpt52_main,narrative-content,none,1099057501,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--none--stage0-selected--s1421875452,capability-no-go,experiment-d,gpt52_main,narrative-content,none,1421875452,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--none--stage0-selected--s1769977770,capability-no-go,experiment-d,gpt52_main,narrative-content,none,1769977770,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--none--stage0-selected--s959809858,capability-no-go,experiment-d,gpt52_main,narrative-content,none,959809858,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--none--stage0-selected--s617806385,capability-no-go,experiment-d,gpt52_main,narrative-content,none,617806385,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--aligned--stage0-selected--s1099057501,capability-no-go,experiment-d,gpt52_main,narrative-content,aligned,1099057501,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--aligned--stage0-selected--s1421875452,capability-no-go,experiment-d,gpt52_main,narrative-content,aligned,1421875452,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--aligned--stage0-selected--s1769977770,capability-no-go,experiment-d,gpt52_main,narrative-content,aligned,1769977770,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--aligned--stage0-selected--s959809858,capability-no-go,experiment-d,gpt52_main,narrative-content,aligned,959809858,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--aligned--stage0-selected--s617806385,capability-no-go,experiment-d,gpt52_main,narrative-content,aligned,617806385,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--paraphrase--stage0-selected--s1099057501,capability-no-go,experiment-d,gpt52_main,narrative-content,paraphrase,1099057501,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--paraphrase--stage0-selected--s1421875452,capability-no-go,experiment-d,gpt52_main,narrative-content,paraphrase,1421875452,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--paraphrase--stage0-selected--s1769977770,capability-no-go,experiment-d,gpt52_main,narrative-content,paraphrase,1769977770,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--paraphrase--stage0-selected--s959809858,capability-no-go,experiment-d,gpt52_main,narrative-content,paraphrase,959809858,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--paraphrase--stage0-selected--s617806385,capability-no-go,experiment-d,gpt52_main,narrative-content,paraphrase,617806385,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--opposite--stage0-selected--s1099057501,capability-no-go,experiment-d,gpt52_main,narrative-content,opposite,1099057501,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--opposite--stage0-selected--s1421875452,capability-no-go,experiment-d,gpt52_main,narrative-content,opposite,1421875452,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--opposite--stage0-selected--s1769977770,capability-no-go,experiment-d,gpt52_main,narrative-content,opposite,1769977770,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--opposite--stage0-selected--s959809858,capability-no-go,experiment-d,gpt52_main,narrative-content,opposite,959809858,False,,,null
finevo-pilot-v1--experiment-d--gpt52_main--narrative-content--opposite--stage0-selected--s617806385,capability-no-go,experiment-d,gpt52_main,narrative-content,opposite,617806385,False,,,null
finevo-pilot-v1--cross-model-sentinels--gpt56_upper--full--none--stage0-selected--s1099057501,capability-no-go,cross-model-sentinels,gpt56_upper,full,none,1099057501,False,,,null
finevo-pilot-v1--cross-model-sentinels--gpt56_upper--full--none--stage0-selected--s1421875452,capability-no-go,cross-model-sentinels,gpt56_upper,full,none,1421875452,False,,,null
finevo-pilot-v1--cross-model-sentinels--gpt56_upper--full--none--stage0-selected--s1769977770,capability-no-go,cross-model-sentinels,gpt56_upper,full,none,1769977770,False,,,null
finevo-pilot-v1--cross-model-sentinels--gpt56_upper--no-memory--none--stage0-selected--s1099057501,capability-no-go,cross-model-sentinels,gpt56_upper,no-memory,none,1099057501,False,,,null
finevo-pilot-v1--cross-model-sentinels--gpt56_upper--no-memory--none--stage0-selected--s1421875452,capability-no-go,cross-model-sentinels,gpt56_upper,no-memory,none,1421875452,False,,,null
finevo-pilot-v1--cross-model-sentinels--gpt56_upper--no-memory--none--stage0-selected--s1769977770,capability-no-go,cross-model-sentinels,gpt56_upper,no-memory,none,1769977770,False,,,null
finevo-pilot-v1--cross-model-sentinels--opus48_sentinel--full--none--stage0-selected--s1099057501,capability-no-go,cross-model-sentinels,opus48_sentinel,full,none,1099057501,False,,,null
finevo-pilot-v1--cross-model-sentinels--opus48_sentinel--full--none--stage0-selected--s1421875452,capability-no-go,cross-model-sentinels,opus48_sentinel,full,none,1421875452,False,,,null
finevo-pilot-v1--cross-model-sentinels--opus48_sentinel--full--none--stage0-selected--s1769977770,capability-no-go,cross-model-sentinels,opus48_sentinel,full,none,1769977770,False,,,null
finevo-pilot-v1--cross-model-sentinels--opus48_sentinel--no-memory--none--stage0-selected--s1099057501,capability-no-go,cross-model-sentinels,opus48_sentinel,no-memory,none,1099057501,False,,,null
finevo-pilot-v1--cross-model-sentinels--opus48_sentinel--no-memory--none--stage0-selected--s1421875452,capability-no-go,cross-model-sentinels,opus48_sentinel,no-memory,none,1421875452,False,,,null
finevo-pilot-v1--cross-model-sentinels--opus48_sentinel--no-memory--none--stage0-selected--s1769977770,capability-no-go,cross-model-sentinels,opus48_sentinel,no-memory,none,1769977770,False,,,null
finevo-pilot-v1--cross-model-sentinels--gemini35_flash_sentinel--full--none--stage0-selected--s1099057501,capability-no-go,cross-model-sentinels,gemini35_flash_sentinel,full,none,1099057501,False,,,null
finevo-pilot-v1--cross-model-sentinels--gemini35_flash_sentinel--full--none--stage0-selected--s1421875452,capability-no-go,cross-model-sentinels,gemini35_flash_sentinel,full,none,1421875452,False,,,null
finevo-pilot-v1--cross-model-sentinels--gemini35_flash_sentinel--full--none--stage0-selected--s1769977770,capability-no-go,cross-model-sentinels,gemini35_flash_sentinel,full,none,1769977770,False,,,null
finevo-pilot-v1--cross-model-sentinels--gemini35_flash_sentinel--no-memory--none--stage0-selected--s1099057501,capability-no-go,cross-model-sentinels,gemini35_flash_sentinel,no-memory,none,1099057501,False,,,null
finevo-pilot-v1--cross-model-sentinels--gemini35_flash_sentinel--no-memory--none--stage0-selected--s1421875452,capability-no-go,cross-model-sentinels,gemini35_flash_sentinel,no-memory,none,1421875452,False,,,null
finevo-pilot-v1--cross-model-sentinels--gemini35_flash_sentinel--no-memory--none--stage0-selected--s1769977770,capability-no-go,cross-model-sentinels,gemini35_flash_sentinel,no-memory,none,1769977770,False,,,null
finevo-pilot-v1--cross-model-sentinels--llama4_maverick_sentinel--full--none--stage0-selected--s1099057501,capability-no-go,cross-model-sentinels,llama4_maverick_sentinel,full,none,1099057501,False,,,null
finevo-pilot-v1--cross-model-sentinels--llama4_maverick_sentinel--full--none--stage0-selected--s1421875452,capability-no-go,cross-model-sentinels,llama4_maverick_sentinel,full,none,1421875452,False,,,null
finevo-pilot-v1--cross-model-sentinels--llama4_maverick_sentinel--full--none--stage0-selected--s1769977770,capability-no-go,cross-model-sentinels,llama4_maverick_sentinel,full,none,1769977770,False,,,null
finevo-pilot-v1--cross-model-sentinels--llama4_maverick_sentinel--no-memory--none--stage0-selected--s1099057501,capability-no-go,cross-model-sentinels,llama4_maverick_sentinel,no-memory,none,1099057501,False,,,null
